# 时刻ms	动作	对象	音	修饰键	按住ms	与上一音间隔ms
      40	按下	N	,6	left	297	
     385	按下	M	,7	left	305	48
     730	按下	Z	1	无	986	40
    1764	按下	M	,7	left	297	48
    2109	按下	Z	1	无	642	48
    2799	按下	C	3	无	650	48
    3488	按下	M	,7	left	2021	40
    5557	按下	C	,3	left	650	48
    6247	按下	N	,6	left	994	40
    7281	按下	B	,5	left	305	40
    7626	按下	N	,6	left	650	40
    8316	按下	Z	1	无	642	40
    9006	按下	B	,5	left	2021	48
   11074	按下	C	,3	left	650	48
   11764	按下	V	,4	left	994	40
   12799	按下	C	,3	left	305	40
   13143	按下	V	,4	left	305	40
   13488	按下	Z	1	无	986	40
   14523	按下	C	,3	left	2021	48
   16592	按下	Z	1	无	642	48
   17281	按下	M	,7	left	986	48
   18316	按下	V	#,4	left+middle	297	48
   18661	按下	V	#,4	left+middle	994	48
   19695	按下	M	,7	left	297	40
   20040	按下	M	,7	left	2029	48
   22109	按下	N	,6	left	305	40
   22454	按下	M	,7	left	305	40
   22799	按下	Z	1	无	986	40
   23833	按下	M	,7	left	297	48
   24178	按下	Z	1	无	642	48
   24868	按下	C	3	无	650	48
   25557	按下	M	,7	left	2021	40
   27626	按下	C	,3	left	305	48
   27971	按下	C	,3	left	305	40
   28316	按下	N	,6	left	994	40
   29350	按下	B	,5	left	305	40
   29695	按下	N	,6	left	650	40
   30385	按下	Z	1	无	642	40
   31074	按下	B	,5	left	2021	48
   33143	按下	C	,3	left	650	48
   33833	按下	V	,4	left	650	40
   34523	按下	Z	1	无	297	40
   34868	按下	M	,7	left	986	48
   35902	按下	Z	1	无	642	48
   36592	按下	X	2	无	650	48
   37281	按下	C	3	无	305	40
   37626	按下	Z	1	无	1684	40
   39350	按下	Z	1	无	305	40
   39695	按下	M	,7	left	297	40
   40040	按下	N	,6	left	650	48
   40730	按下	M	,7	left	650	40
   41419	按下	B	#,5	left+middle	642	40
   42109	按下	N	,6	left	2021	48
   44178	按下	Z	1	无	297	48
   44523	按下	X	2	无	305	48
   44868	按下	C	3	无	994	40
   45902	按下	X	2	无	305	40
   46247	按下	C	3	无	650	40
   46937	按下	B	5	无	650	40
   47626	按下	X	2	无	2029	40
   49695	按下	B	,5	left	642	40
   50385	按下	Z	1	无	986	48
   51419	按下	M	,7	left	297	48
   51764	按下	Z	1	无	642	48
   52454	按下	X	2	无	305	48
   52799	按下	C	3	无	305	40
   53143	按下	C	3	无	2719	40
   55902	按下	N	,6	left	297	40
   56247	按下	M	,7	left	305	48
   56592	按下	Z	1	无	642	40
   57281	按下	M	,7	left	297	48
   57626	按下	Z	1	无	297	48
   57971	按下	X	2	无	650	48
   58661	按下	Z	1	无	994	40
   59695	按下	B	,5	left	297	40
   60040	按下	B	5	无	1331	48
   61419	按下	V	4	无	650	48
   62109	按下	C	3	无	650	40
   62799	按下	X	2	无	650	40
   63488	按下	Z	1	无	650	40
   64178	按下	C	3	无	2029	40
   66247	按下	C	3	无	650	40
   66937	按下	N	6	无	994	40
   67971	按下	N	6	无	305	40
   68316	按下	B	5	无	994	40
   69350	按下	B	5	无	305	40
   69695	按下	C	3	无	305	40
   70040	按下	X	2	无	305	40
   70385	按下	Z	1	无	650	40
   71074	按下	Z	1	无	1339	40
   72454	按下	X	2	无	994	40
   73488	按下	Z	1	无	305	40
   73833	按下	X	2	无	650	40
   74523	按下	B	5	无	650	40
   75212	按下	C	3	无	2029	40
   77281	按下	C	3	无	650	40
   77971	按下	N	6	无	994	40
   79006	按下	N	6	无	305	40
   79350	按下	B	5	无	994	40
   80385	按下	B	5	无	305	40
   80730	按下	C	3	无	305	40
   81074	按下	X	2	无	305	40
   81419	按下	Z	1	无	650	40
   82109	按下	Z	1	无	1339	40
   83488	按下	X	2	无	994	40
   84523	按下	Z	1	无	305	40
   84868	按下	X	2	无	650	40
   85557	按下	M	,7	left	642	40
   86247	按下	N	,6	left	2029	48
