时刻ms,动作,对象,音序号
1,按下修饰键,left,
40,按下音键,N,1
337,松开音键,N,1
385,按下音键,M,2
690,松开音键,M,2
691,松开修饰键,left,
730,按下音键,Z,3
1716,松开音键,Z,3
1724,按下修饰键,left,
1764,按下音键,M,4
2061,松开音键,M,4
2062,松开修饰键,left,
2109,按下音键,Z,5
2751,松开音键,Z,5
2799,按下音键,C,6
3448,松开音键,C,6
3449,按下修饰键,left,
3488,按下音键,M,7
5509,松开音键,M,7
5557,按下音键,C,8
6207,松开音键,C,8
6247,按下音键,N,9
7241,松开音键,N,9
7281,按下音键,B,10
7586,松开音键,B,10
7626,按下音键,N,11
8276,松开音键,N,11
8277,松开修饰键,left,
8316,按下音键,Z,12
8958,松开音键,Z,12
8966,按下修饰键,left,
9006,按下音键,B,13
11026,松开音键,B,13
11074,按下音键,C,14
11724,松开音键,C,14
11764,按下音键,V,15
12759,松开音键,V,15
12799,按下音键,C,16
13103,松开音键,C,16
13143,按下音键,V,17
13448,松开音键,V,17
13449,松开修饰键,left,
13488,按下音键,Z,18
14475,松开音键,Z,18
14483,按下修饰键,left,
14523,按下音键,C,19
16544,松开音键,C,19
16545,松开修饰键,left,
16592,按下音键,Z,20
17233,松开音键,Z,20
17241,按下修饰键,left,
17281,按下音键,M,21
18268,松开音键,M,21
18276,按下修饰键,middle,
18316,按下音键,V,22
18613,松开音键,V,22
18661,按下音键,V,23
19655,松开音键,V,23
19656,松开修饰键,middle,
19695,按下音键,M,24
19992,松开音键,M,24
20040,按下音键,M,25
22069,松开音键,M,25
22109,按下音键,N,26
22414,松开音键,N,26
22454,按下音键,M,27
22759,松开音键,M,27
22760,松开修饰键,left,
22799,按下音键,Z,28
23785,松开音键,Z,28
23793,按下修饰键,left,
23833,按下音键,M,29
24130,松开音键,M,29
24131,松开修饰键,left,
24178,按下音键,Z,30
24820,松开音键,Z,30
24868,按下音键,C,31
25517,松开音键,C,31
25518,按下修饰键,left,
25557,按下音键,M,32
27578,松开音键,M,32
27626,按下音键,C,33
27931,松开音键,C,33
27971,按下音键,C,34
28276,松开音键,C,34
28316,按下音键,N,35
29310,松开音键,N,35
29350,按下音键,B,36
29655,松开音键,B,36
29695,按下音键,N,37
30345,松开音键,N,37
30346,松开修饰键,left,
30385,按下音键,Z,38
31026,松开音键,Z,38
31034,按下修饰键,left,
31074,按下音键,B,39
33095,松开音键,B,39
33143,按下音键,C,40
33793,松开音键,C,40
33833,按下音键,V,41
34483,松开音键,V,41
34484,松开修饰键,left,
34523,按下音键,Z,42
34820,松开音键,Z,42
34828,按下修饰键,left,
34868,按下音键,M,43
35854,松开音键,M,43
35855,松开修饰键,left,
35902,按下音键,Z,44
36544,松开音键,Z,44
36592,按下音键,X,45
37241,松开音键,X,45
37281,按下音键,C,46
37586,松开音键,C,46
37626,按下音键,Z,47
39310,松开音键,Z,47
39350,按下音键,Z,48
39655,松开音键,Z,48
39656,按下修饰键,left,
39695,按下音键,M,49
39992,松开音键,M,49
40040,按下音键,N,50
40690,松开音键,N,50
40730,按下音键,M,51
41379,松开音键,M,51
41380,按下修饰键,middle,
41419,按下音键,B,52
42061,松开音键,B,52
42062,松开修饰键,middle,
42109,按下音键,N,53
44130,松开音键,N,53
44131,松开修饰键,left,
44178,按下音键,Z,54
44475,松开音键,Z,54
44523,按下音键,X,55
44828,松开音键,X,55
44868,按下音键,C,56
45862,松开音键,C,56
45902,按下音键,X,57
46207,松开音键,X,57
46247,按下音键,C,58
46897,松开音键,C,58
46937,按下音键,B,59
47586,松开音键,B,59
47626,按下音键,X,60
49655,松开音键,X,60
49656,按下修饰键,left,
49695,按下音键,B,61
50337,松开音键,B,61
50338,松开修饰键,left,
50385,按下音键,Z,62
51371,松开音键,Z,62
51379,按下修饰键,left,
51419,按下音键,M,63
51716,松开音键,M,63
51717,松开修饰键,left,
51764,按下音键,Z,64
52406,松开音键,Z,64
52454,按下音键,X,65
52759,松开音键,X,65
52799,按下音键,C,66
53103,松开音键,C,66
53143,按下音键,C,67
55862,松开音键,C,67
55863,按下修饰键,left,
55902,按下音键,N,68
56199,松开音键,N,68
56247,按下音键,M,69
56552,松开音键,M,69
56553,松开修饰键,left,
56592,按下音键,Z,70
57233,松开音键,Z,70
57241,按下修饰键,left,
57281,按下音键,M,71
57578,松开音键,M,71
57579,松开修饰键,left,
57626,按下音键,Z,72
57923,松开音键,Z,72
57971,按下音键,X,73
58621,松开音键,X,73
58661,按下音键,Z,74
59655,松开音键,Z,74
59656,按下修饰键,left,
59695,按下音键,B,75
59992,松开音键,B,75
59993,松开修饰键,left,
60040,按下音键,B,76
61371,松开音键,B,76
61419,按下音键,V,77
62069,松开音键,V,77
62109,按下音键,C,78
